epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,135.594,1.8839,3.78625,2.48993,1.82855,0.34878,0.10743,0.19088,0.10623,0.3469,0.10544,0.17106,0.10989,1.4818,3.44446,2.88131,1.63707,0.000862392,0.000862392,0.000862392
30,140.05,1.7908,3.41524,2.35827,1.73787,0.23855,0.24734,0.23813,0.13118,0.23855,0.24734,0.23282,0.14288,1.47416,2.88231,2.49175,1.5852,0.000889406,0.000889406,0.000889406
31,144.532,1.97441,3.65578,2.44474,1.8364,0.23855,0.24734,0.23813,0.13118,0.23855,0.24734,0.23282,0.14288,1.47416,2.88231,2.49175,1.5852,0.0009162,0.0009162,0.0009162
32,149.19,1.83368,3.58665,2.45158,1.69373,0.23855,0.24734,0.23813,0.13118,0.23855,0.24734,0.23282,0.14288,1.47416,2.88231,2.49175,1.5852,0.000942774,0.000942774,0.000942774
33,153.825,1.96405,3.77508,2.55079,1.82963,0.3113,0.36919,0.29147,0.16633,0.3113,0.36919,0.28467,0.15546,1.4129,3.09525,2.28096,1.51247,0.000969127,0.000969127,0.000969127
34,158.537,2.1598,3.98481,2.57917,1.93793,0.3113,0.36919,0.29147,0.16633,0.3113,0.36919,0.28467,0.15546,1.4129,3.09525,2.28096,1.51247,0.000995261,0.000995261,0.000995261
35,163.23,2.05794,4.06139,2.57011,1.87336,0.3113,0.36919,0.29147,0.16633,0.3113,0.36919,0.28467,0.15546,1.4129,3.09525,2.28096,1.51247,0.00102117,0.00102117,0.00102117
36,167.682,1.91436,3.68884,2.36898,1.78745,0.26312,0.3343,0.27629,0.1599,0.32134,0.28101,0.23263,0.1286,1.43607,3.50333,2.17195,1.5396,0.00104687,0.00104687,0.00104687
37,172.047,1.98538,3.83361,2.60399,1.9332,0.26312,0.3343,0.27629,0.1599,0.32134,0.28101,0.23263,0.1286,1.43607,3.50333,2.17195,1.5396,0.00107234,0.00107234,0.00107234
38,176.359,1.88022,3.74447,2.6606,1.79905,0.26312,0.3343,0.27629,0.1599,0.32134,0.28101,0.23263,0.1286,1.43607,3.50333,2.17195,1.5396,0.00109759,0.00109759,0.00109759
39,180.78,1.80938,3.50199,2.45095,1.68334,0.30217,0.50439,0.29609,0.13796,0.23433,0.38606,0.21631,0.11392,1.48016,3.45662,2.34235,1.59643,0.00112263,0.00112263,0.00112263
40,185.275,1.62233,3.20731,2.28398,1.59168,0.30217,0.50439,0.29609,0.13796,0.23433,0.38606,0.21631,0.11392,1.48016,3.45662,2.34235,1.59643,0.00114744,0.00114744,0.00114744
41,190.264,1.90993,3.57688,2.53248,1.81321,0.30217,0.50439,0.29609,0.13796,0.23433,0.38606,0.21631,0.11392,1.48016,3.45662,2.34235,1.59643,0.00117203,0.00117203,0.00117203
42,194.698,1.66926,3.17837,2.43633,1.59383,0.18372,0.41085,0.23225,0.13666,0.20079,0.41085,0.2239,0.10877,1.43803,3.37087,2.80967,1.55381,0.00119641,0.00119641,0.00119641
43,199.112,1.66888,3.47549,2.32417,1.7086,0.18372,0.41085,0.23225,0.13666,0.20079,0.41085,0.2239,0.10877,1.43803,3.37087,2.80967,1.55381,0.00122056,0.00122056,0.00122056
44,203.318,1.48196,2.78092,2.18002,1.48749,0.18372,0.41085,0.23225,0.13666,0.20079,0.41085,0.2239,0.10877,1.43803,3.37087,2.80967,1.55381,0.00124449,0.00124449,0.00124449
45,207.527,1.85467,3.33391,2.31188,1.75052,0.18372,0.41085,0.23225,0.13666,0.20079,0.41085,0.2239,0.10877,1.43803,3.37087,2.80967,1.55381,0.00126821,0.00126821,0.00126821
46,211.703,1.60494,3.11358,2.50069,1.59134,0.1804,0.42733,0.25435,0.14309,0.20384,0.46899,0.25579,0.12317,1.43406,3.25023,3.51071,1.52684,0.0012917,0.0012917,0.0012917
47,216.185,1.4354,3.02587,2.72864,1.53256,0.1804,0.42733,0.25435,0.14309,0.20384,0.46899,0.25579,0.12317,1.43406,3.25023,3.51071,1.52684,0.00131497,0.00131497,0.00131497
48,220.422,1.61013,3.45069,2.36059,1.62039,0.1804,0.42733,0.25435,0.14309,0.20384,0.46899,0.25579,0.12317,1.43406,3.25023,3.51071,1.52684,0.00133803,0.00133803,0.00133803
49,224.953,1.668,3.4445,2.37635,1.60432,0.1804,0.42733,0.25435,0.14309,0.20384,0.46899,0.25579,0.12317,1.43406,3.25023,3.51071,1.52684,0.00136086,0.00136086,0.00136086
50,229.506,1.84651,3.69532,2.51107,1.78271,0.13431,0.47384,0.25269,0.13684,0.14514,0.49225,0.22889,0.09071,1.37145,3.70119,3.5745,1.46873,0.00138347,0.00138347,0.00138347
51,234.001,1.96336,3.80335,2.56116,1.82665,0.13431,0.47384,0.25269,0.13684,0.14514,0.49225,0.22889,0.09071,1.37145,3.70119,3.5745,1.46873,0.00139195,0.00139195,0.00139195
52,238.518,1.51579,2.78072,2.16022,1.50903,0.13431,0.47384,0.25269,0.13684,0.14514,0.49225,0.22889,0.09071,1.37145,3.70119,3.5745,1.46873,0.00138644,0.00138644,0.00138644
53,243.04,1.85574,3.44314,2.44763,1.69407,0.13431,0.47384,0.25269,0.13684,0.14514,0.49225,0.22889,0.09071,1.37145,3.70119,3.5745,1.46873,0.00138094,0.00138094,0.00138094
54,247.347,1.79572,3.61533,2.45381,1.71954,0.21985,0.43217,0.26888,0.14177,0.21985,0.43217,0.24961,0.11359,1.42226,3.23786,2.86299,1.51891,0.00137544,0.00137544,0.00137544
55,252.068,1.94652,3.85612,2.52392,1.76549,0.21985,0.43217,0.26888,0.14177,0.21985,0.43217,0.24961,0.11359,1.42226,3.23786,2.86299,1.51891,0.00136994,0.00136994,0.00136994
56,256.534,1.91307,3.73466,2.63272,1.85814,0.21985,0.43217,0.26888,0.14177,0.21985,0.43217,0.24961,0.11359,1.42226,3.23786,2.86299,1.51891,0.00136444,0.00136444,0.00136444
57,260.69,1.36433,2.90074,2.87214,1.4045,0.21985,0.43217,0.26888,0.14177,0.21985,0.43217,0.24961,0.11359,1.42226,3.23786,2.86299,1.51891,0.00135894,0.00135894,0.00135894
58,265.263,1.71902,3.4838,2.37364,1.73222,0.25685,0.50683,0.31802,0.18126,0.25363,0.4952,0.30363,0.15286,1.43741,2.88793,2.22463,1.50995,0.00135344,0.00135344,0.00135344
59,269.493,1.54077,3.18411,2.12302,1.4825,0.25685,0.50683,0.31802,0.18126,0.25363,0.4952,0.30363,0.15286,1.43741,2.88793,2.22463,1.50995,0.00134794,0.00134794,0.00134794
60,274.075,1.56797,2.91785,2.22464,1.52378,0.25685,0.50683,0.31802,0.18126,0.25363,0.4952,0.30363,0.15286,1.43741,2.88793,2.22463,1.50995,0.00134244,0.00134244,0.00134244
61,278.563,1.67765,3.29563,2.20444,1.61991,0.25685,0.50683,0.31802,0.18126,0.25363,0.4952,0.30363,0.15286,1.43741,2.88793,2.22463,1.50995,0.00133693,0.00133693,0.00133693
62,283.38,1.62611,2.92143,2.18106,1.52013,0.27455,0.42054,0.32927,0.17887,0.27455,0.42054,0.33282,0.16366,1.433,3.06215,2.13948,1.52237,0.00133143,0.00133143,0.00133143
63,288.072,1.95526,3.62647,2.32041,1.78726,0.27455,0.42054,0.32927,0.17887,0.27455,0.42054,0.33282,0.16366,1.433,3.06215,2.13948,1.52237,0.00132593,0.00132593,0.00132593
64,292.452,1.53218,2.9212,2.31293,1.51524,0.27455,0.42054,0.32927,0.17887,0.27455,0.42054,0.33282,0.16366,1.433,3.06215,2.13948,1.52237,0.00132043,0.00132043,0.00132043
65,296.729,1.67553,3.192,2.16419,1.65243,0.27455,0.42054,0.32927,0.17887,0.27455,0.42054,0.33282,0.16366,1.433,3.06215,2.13948,1.52237,0.00131493,0.00131493,0.00131493
66,301.187,1.67777,3.05231,2.16377,1.64511,0.2287,0.53876,0.32408,0.19718,0.2287,0.53876,0.31855,0.17537,1.31727,2.89946,2.13605,1.4753,0.00130943,0.00130943,0.00130943
67,305.578,1.68635,3.43378,2.29907,1.61257,0.2287,0.53876,0.32408,0.19718,0.2287,0.53876,0.31855,0.17537,1.31727,2.89946,2.13605,1.4753,0.00130393,0.00130393,0.00130393
68,310.15,2.0187,3.98065,2.62475,1.90453,0.2287,0.53876,0.32408,0.19718,0.2287,0.53876,0.31855,0.17537,1.31727,2.89946,2.13605,1.4753,0.00129843,0.00129843,0.00129843
